University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Cornell,Li Chen,operations-technology-information-management,Full,Male,"Professor
Emerson Professor of Manufacturing Management
Area Chair for Operations, Technology, and Information Management
Breazzano Family Term Professor of Management","['he', 'his', 'he', 'his', 'he', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/lc785/,1,1
Cornell,Yao Cui,operations-technology-information-management,Assistant,Male,Assistant Professor,"['his', 'his', 'his', 'he', 'he', 'he', 'his', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/yc2268/,1,0
Cornell,Andrew M. Davis,operations-technology-information-management,Associate,Male,"Associate Professor
Director of the Business Simulation Laboratory","['his', 'he', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/amd365/,1,1
Cornell,Vishal Gaur,operations-technology-information-management,Full,Male,"Professor
Anne and Elmer Lindseth Dean of the Johnson Graduate School of Management","['his', 'he', 'his', 'he', 'his', 'he', 'he', 'his', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/vg77/,1,0
Cornell,Karan Girotra,operations-technology-information-management,Full,Male,"Charles H. Dyson Family Professor of Management
Department Editor, Management Science
Department Editor, Service Science","['he', 'he', 'his', 'his', 'his', 'he', 'his', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/kg488/,1,1
Cornell,Yichun Hu,operations-technology-information-management,Assistant,Female,Assistant Professor,[],https://business.cornell.edu/faculty-research/faculty/yh767/,1,1
Cornell,Nur Kaynar,operations-technology-information-management,Assistant,Female,Assistant Professor,[],https://www.johnson.cornell.edu/faculty-research/faculty/sk2739/,1,0
Cornell,Adam Dearing,economics,Assistant,Unknown,Assistant Professor,[],https://www.johnson.cornell.edu/faculty-research/faculty/aed237/,1,0
Cornell,Yi Chen,economics,Assistant,Male,"Assistant Professor
Half Century Faculty Research Fellowship, Samuel Curtis Johnson Graduate School of Management","['he', 'his', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/yc2535/,1,1
Cornell,Ori Heffetz,economics,Associate,Male,Associate Professor,"['he', 'he', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/oh33/,1,1
Cornell,Justin P. Johnson,economics,Full,Male,Deane W. Malott Professor of Management,"['his', 'his', 'he', 'he', 'his', 'he', 'his', 'his']",https://www.johnson.cornell.edu/faculty-research/faculty/jpj25/,1,0
Cornell,Thomas Jungbauer,economics,Assistant,Male,Assistant Professor,"['he', 'he', 'his', 'his', 'his', 'he', 'he', 'his', 'he', 'his', 'he', 'his', 'his', 'he', 'his', 'he', 'he', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/tj268/,1,1
Cornell,Marcel Preuss,economics,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'he', 'his', 'he', 'his', 'his', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mp2222/,1,0
Cornell,Michael Waldman,economics,Full,Male,Charles H. Dyson Professor of Management,"['he', 'his', 'his', 'he', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he']",https://www.johnson.cornell.edu/faculty-research/faculty/mw46/,1,1
