Name,Title,Department,URL,Rank,University
Awi Federgruen,"Charles E. Exley Professor of Management; Chair of Decision, Risk, and Operations","Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/awi-federgruen,Full,Columbia
Paul Glasserman,Jack R. Anderson Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/paul-glasserman,Full,Columbia
Linda Green,Cain Brothers & Company Professor Emerita of Healthcare Management in the Faculty of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/linda-green,Emeritus,Columbia
Yash Kanoria,Associate Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/yash-kanoria,Associate,Columbia
Hannah Li,Assistant Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/staff/people/hannah-li,Assistant,Columbia
Will Ma,Associate Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/will-ma,Associate,Columbia
Hongyao Ma,Assistant Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/hongyao-ma,Assistant,Columbia
Costis Maglaras,Dean,Dean's Office,https://business.columbia.edu/faculty/people/costis-maglaras,Full,Columbia
Ciamac Moallemi,William von Mueffling Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/ciamac-moallemi,Full,Columbia
Hongseok Namkoong,Assistant Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/hongseok-namkoong,Assistant,Columbia
Nicola Rosaia,Assistant Professor of Business,"Decision, Risk, and Operations Division",https://business.columbia.edu/faculty/people/nicola-rosaia,Assistant,Columbia
